,X,Y,Z
336,-361374571.5039592,652069314.0181308,85756091.17451411
337,-372825621.0343686,670586597.8773896,73157684.28115347
338,-153384698.2305114,779716299.6199807,59260086.9290548
339,-458753269.5656774,677535578.6409132,-13478132.55009249
340,70079256.64817667,691561390.5025815,-240451222.5155568
341,232004377.9980686,720051471.8710872,64263640.38150918
342,-113623263.9319842,665552519.7699546,-97940237.76602907
343,-156812591.8109757,757432011.9367793,-61787666.34251553
344,-28132956.10794386,762263025.8677738,-97721054.72978304
345,-181746487.9308018,649513810.8520362,-46882109.99265686
346,-23277108.66901184,751179380.0874208,111749150.0532376
347,71620566.55806075,776134000.7201308,93289032.86801536
348,-66613124.10733724,705451897.0275521,-1174880.088729143
349,-130473404.7004138,772583233.213347,47592841.85658914
350,-591941644.4571702,494344816.6479342,-21687431.45643154
351,-261536305.5977487,690846599.176908,-86331804.8090978
352,-154638077.7530146,713139914.3744106,-135936109.875398
353,-46984681.45993043,768897403.3347499,-8373758.672345042
354,83615499.84939845,751178695.9912711,7049560.366607666
355,-512060861.8271136,560462808.212332,-136588375.4912347
356,-122091838.4993639,739942017.2499661,-307330171.0731806
357,-184452251.9540518,734909633.6406704,-169148181.3768908
358,-510110715.0004904,527172613.3011904,-224963722.9031394
359,-350215878.6787924,667852295.4200366,214532546.1403718
360,39407363.60376664,735961950.7804815,222722433.9284992
361,-90460005.35824972,713069399.8116097,57242967.67854646
362,-174534502.545376,686220954.5432081,109068536.9195231
363,-130401454.8088053,669935823.6869059,-211603371.9681349
364,-283276376.7925236,670283367.5382543,403649.5205107033
365,-242895510.0577776,707019414.2840972,21658698.77174816
366,252402088.8968107,702331896.7477107,-187156736.5933093
367,75341343.9623984,700840104.147261,-126589139.4282464
368,-182822837.7577154,681752639.1025978,-131753427.2132543
369,-169901183.0415708,717982105.5611475,97350197.27168147
370,-113684995.2801441,750153552.2797737,100722409.2780183
371,-51468232.24580692,745478856.9508241,36561875.02467752
372,-326227306.1042204,690452746.2578174,45489304.0994978
373,-190976437.3123554,763154958.5331547,22858652.5341258
374,-263254835.7269134,747923882.7446492,252278770.3935771
375,-217269455.8220487,763516987.4637902,-53465130.98611769
376,-269036917.2393385,676991129.2936889,38294515.71238792
377,48361990.93938867,706985828.1236415,28632740.94572002
378,231256008.8647808,671842417.4221337,-10411344.39216048
379,57240475.95627501,664178974.8971976,125892801.3414046
380,114473157.7015318,771128129.8259844,51045423.62675422
381,-77333550.7904997,695249152.0772605,57017.1443554759
382,-247376249.8135976,721818309.6035655,20761094.97999135
383,-81357995.3269517,719589576.6320317,7493647.697275847
384,-193247575.5071267,705575842.5119783,-44887276.24401337
385,-205491740.8175879,763505263.3634478,-155229974.8896865
386,-172252195.3958763,740632054.5296922,91878714.9225516
387,51195829.74517298,714269541.23651,99770281.37849578
388,-363786593.5852246,589619096.5637546,-131015258.533502
389,-585151387.4710404,492664903.5396734,-71305389.0640573
390,-293328172.9899222,656561862.9155718,-231132051.314242
391,-209414023.9915947,718235997.964125,-48292813.22506911
392,-155215501.1395107,684632570.1428188,94213014.73067252
393,-53517971.79837002,734899608.516362,35953250.83677474
394,-188272252.090745,750978029.2958298,58863632.11742604
395,-489225472.3171495,562888820.1779169,-77279272.68834868
396,-247492914.6071097,705734560.6150441,-38264137.22177786
397,-213760166.7447345,612208145.7625206,-70796445.46842116
398,-288570720.4462704,648005123.9717422,147091987.886231
399,129861020.4284697,664059820.025428,-342979377.6937918
400,-83626201.30177712,736237666.2371881,-84687695.84534287
401,-215195072.7444127,743727884.2566475,-105768162.8388358
402,-118579355.0883096,742910798.5699711,142138871.0135197
403,-291117099.60682,742126948.2358382,-275019970.0178847
404,-127215663.5487917,679638556.4511808,-132037196.1736897
405,-170959381.5952327,619978423.7346284,-168369164.0413586
406,-29364004.8603685,757944293.753325,-115290323.6635304
407,-510139728.5510268,567042997.4902908,39518875.50283825
408,-247298090.4671835,569995363.0783598,410073762.7400548
409,-147978135.0699577,753971414.799606,15048857.82439595
410,-22390157.03406681,758273333.3344804,-101702317.0956931
411,-30017992.61330193,691726518.961035,189076528.2865391
412,69978408.19717468,750874066.5622555,-55744790.52274036
413,117714366.3420702,712420187.4413241,151397344.7425803
414,-150743727.9500709,713819369.7205001,167989382.2286464
415,-568824848.5055119,515647733.0511681,19801569.448863
416,-358093229.9997767,645076238.5998507,29809050.98486677
417,151860559.576222,708998973.8757452,71439721.26442626
418,239077497.7025416,700080407.8420589,-86726226.71301916
419,13579961.37569172,769461892.2679166,109109746.2399537
420,-46075178.72296069,669841891.6458523,145920021.2140383
421,-82767773.76767623,665888501.3216166,202160486.9767581
422,-269686595.5008774,723807093.014436,15218382.08395529
423,-195589468.6552315,648332088.0911485,23357798.82044137
424,-209141571.1253921,716244044.8411891,106394970.1307546
425,-35368316.34850606,681562597.4983829,92734318.32124683
426,113957118.2372213,663970418.5476931,32462461.19451368
427,-80121631.88568816,753603030.0685674,-25570033.47188845
428,-180356740.1122854,761501012.5054553,-95209762.44263089
429,-94391326.85705511,711828211.7227037,34088357.85955602
430,34199858.33706179,724891391.0710428,17123431.45428541
431,-290369742.0026944,646801153.8520304,-165198950.4595746
432,-124865684.3500127,676312317.0719827,-119911324.2775418
433,-436003796.7938675,577489434.1582328,-176245682.2771879
434,137552426.0682831,731112383.9117908,-1257642.143208653
435,126392945.0143694,762373968.4927474,-27171021.62790227
436,-11488408.96611857,760996540.7016814,-29306591.59462193
437,142000871.3417374,681838357.8056132,13141897.822065
438,-43127963.46475309,725874197.2936064,49244667.25602266
439,-8337051.679881955,715562209.7146552,117134458.53001
